nodeID,xcoord,ycoord,floor,building,nodeType,longName,shortName,teamAssigned,xcoord3d,ycoord3d
FHALL0190G,2249.0,779.0,0G,New Building,HALL,,,Team F,4681.0,338.0
FHALL0200G,2277.0,779.0,0G,New Building,HALL,,,Team F,4706.0,351.0
FHALL0210G,2301.0,779.0,0G,New Building,HALL,,,Team F,4727.0,361.0
FHALL0220G,2328.0,779.0,0G,New Building,HALL,,,Team F,4751.0,374.0
FHALL0230G,2360.0,780.0,0G,New Building,HALL,,,Team F,4779.0,389.0
FHALL0240G,2393.0,779.0,0G,New Building,HALL,,,Team F,4809.0,403.0
FHALL0250G,2424.0,781.0,0G,New Building,HALL,,,Team F,4836.0,419.0
FHALL0260G,2453.0,780.0,0G,New Building,HALL,,,Team F,4862.0,431.0
FHALL0270G,2489.0,781.0,0G,New Building,HALL,,,Team F,4894.0,448.0
FHALL0280G,2491.0,738.0,0G,New Building,HALL,,,Team F,4915.0,411.0
FHALL0290G,2528.0,741.0,0G,New Building,HALL,,,Team F,4947.0,430.0
FHALL0300G,2568.0,738.0,0G,New Building,HALL,,,Team F,4984.0,446.0
FHALL0310G,2570.0,685.0,0G,New Building,HALL,,,Team F,5010.0,399.0
FHALL0320G,2143.0,748.0,0G,New Building,HALL,,,Team F,4601.0,262.0
FHALL0330G,2145.0,778.0,0G,New Building,HALL,,,Team F,4589.0,290.0
FHALL0340G,2129.0,779.0,0G,New Building,HALL,,,Team F,4574.0,283.0
FHALL0350G,2130.0,831.0,0G,New Building,HALL,,,Team F,4551.0,330.0
FHALL0360G,2129.0,889.0,0G,New Building,HALL,,,Team F,4524.0,382.0
FHALL0370G,2087.0,890.0,0G,New Building,HALL,,,Team F,4486.0,363.0
FHALL0380G,2098.0,839.0,0G,New Building,HALL,,,Team F,4519.0,323.0
FHALL0390G,2068.0,819.0,0G,New Building,HALL,,,Team F,4501.0,292.0
FHALL0400G,2040.0,806.0,0G,New Building,HALL,,,Team F,4482.0,267.0
FHALL0410G,2014.0,798.0,0G,New Building,HALL,,,Team F,4463.0,248.0
FHALL0420G,1995.0,793.0,0G,New Building,HALL,,,Team F,4448.0,235.0
FHALL0430G,1970.0,806.0,0G,New Building,HALL,,,Team F,4420.0,236.0
FHALL0440G,1975.0,769.0,0G,New Building,HALL,,,Team F,4441.0,205.0
FHALL0450G,1969.0,733.0,0G,New Building,HALL,,,Team F,4452.0,170.0
FHALL0460G,1949.0,700.0,0G,New Building,HALL,,,Team F,4449.0,132.0
FHALL0470G,1923.0,675.0,0G,New Building,HALL,,,Team F,4437.0,97.0
FHALL0480G,1895.0,657.0,0G,New Building,HALL,,,Team F,4421.0,69.0
FHALL0490G,1861.0,649.0,0G,New Building,HALL,,,Team F,4394.0,46.0
FHALL0500G,1822.0,652.0,0G,New Building,HALL,,,Team F,4358.0,31.0
FHALL0510G,1790.0,663.0,0G,New Building,HALL,,,Team F,4324.0,27.0
FHALL0520G,1762.0,685.0,0G,New Building,HALL,,,Team F,4289.0,33.0
FHALL0530G,1737.0,718.0,0G,New Building,HALL,,,Team F,4252.0,52.0
FHALL0540G,1701.0,698.0,0G,New Building,HALL,,,Team F,4229.0,17.0
FHALL0550G,1660.0,722.0,0G,New Building,HALL,,,Team F,4182.0,20.0
FHALL0560G,1636.0,686.0,0G,New Building,HALL,,,Team F,4177.0,-22.0
FHALL0570G,1602.0,661.0,0G,New Building,HALL,,,Team F,4158.0,-59.0
FHALL0580G,1559.0,655.0,0G,New Building,HALL,,,Team F,4122.0,-84.0
FHALL0590G,1512.0,655.0,0G,New Building,HALL,,,Team F,4080.0,-106.0
FHALL0600G,1476.0,676.0,0G,New Building,HALL,,,Team F,4038.0,-103.0
FHALL0610G,1438.0,716.0,0G,New Building,HALL,,,Team F,3986.0,-85.0
FHALL0620G,1425.0,762.0,0G,New Building,HALL,,,Team F,3954.0,-50.0
FHALL0630G,1431.0,817.0,0G,New Building,HALL,,,Team F,3934.0,1.0
FHALL0640G,1453.0,860.0,0G,New Building,HALL,,,Team F,3935.0,50.0
FHALL0650G,1516.0,898.0,0G,New Building,HALL,,,Team F,3974.0,112.0
FHALL0660G,1482.0,906.0,0G,New Building,HALL,,,Team F,3940.0,104.0
FHALL0670G,1439.0,906.0,0G,New Building,HALL,,,Team F,3901.0,84.0
FHALL0680G,1403.0,907.0,0G,New Building,HALL,,,Team F,3869.0,69.0
FHALL0690G,1400.0,840.0,0G,New Building,HALL,,,Team F,3896.0,8.0
FHALL0700G,1354.0,836.0,0G,New Building,HALL,,,Team F,3857.0,-16.0
FHALL0710G,1356.0,778.0,0G,New Building,HALL,,,Team F,3885.0,-66.0
FHALL0720G,1357.0,708.0,0G,New Building,HALL,,,Team F,3918.0,-128.0
FHALL0730G,1391.0,711.0,0G,New Building,HALL,,,Team F,3947.0,-110.0
FHALL0740G,1393.0,679.0,0G,New Building,HALL,,,Team F,3963.0,-138.0
FHALL0750G,1390.0,639.0,0G,New Building,HALL,,,Team F,3979.0,-175.0
FHALL0760G,1361.0,639.0,0G,New Building,HALL,,,Team F,3953.0,-188.0
FHALL0770G,1321.0,643.0,0G,New Building,HALL,,,Team F,3915.0,-203.0
FHALL0780G,1277.0,645.0,0G,New Building,HALL,,,Team F,3875.0,-221.0
FHALL0790G,1231.0,642.0,0G,New Building,HALL,,,Team F,3835.0,-244.0
FHALL0800G,1183.0,642.0,0G,New Building,HALL,,,Team F,3793.0,-266.0
FHALL0810G,1137.0,646.0,0G,New Building,HALL,,,Team F,3750.0,-283.0
FHALL0820G,1138.0,701.0,0G,New Building,HALL,,,Team F,3726.0,-234.0
FHALL0830G,1137.0,766.0,0G,New Building,HALL,,,Team F,3695.0,-176.0
FHALL0840G,1136.0,827.0,0G,New Building,HALL,,,Team F,3667.0,-122.0
FHALL0850G,1137.0,878.0,0G,New Building,HALL,,,Team F,3645.0,-77.0
FHALL0860G,1137.0,931.0,0G,New Building,HALL,,,Team F,3621.0,-29.0
FHALL0870G,1138.0,982.0,0G,New Building,HALL,,,Team F,3599.0,16.0
FHALL0880G,1135.0,1039.0,0G,New Building,HALL,,,Team F,3570.0,65.0
FHALL0890G,1136.0,1091.0,0G,New Building,HALL,,,Team F,3547.0,112.0
FHALL0900G,1138.0,1137.0,0G,New Building,HALL,,,Team F,3528.0,154.0
FHALL0910G,1136.0,1175.0,0G,New Building,HALL,,,Team F,3509.0,187.0
FHALL0920G,1137.0,1223.0,0G,New Building,HALL,,,Team F,3488.0,230.0
FHALL0930G,1181.0,1225.0,0G,New Building,HALL,,,Team F,3527.0,252.0
FHALL0940G,1234.0,1225.0,0G,New Building,HALL,,,Team F,3574.0,276.0
FHALL0950G,1286.0,1227.0,0G,New Building,HALL,,,Team F,3620.0,301.0
FHALL0960G,1331.0,1225.0,0G,New Building,HALL,,,Team F,3661.0,320.0
FHALL0970G,1331.0,1176.0,0G,New Building,HALL,,,Team F,3683.0,276.0
FHALL0980G,1362.0,1177.0,0G,New Building,HALL,,,Team F,3710.0,291.0
FHALL0990G,1362.0,1211.0,0G,New Building,HALL,,,Team F,3695.0,321.0
FHALL1000G,1361.0,1258.0,0G,New Building,HALL,,,Team F,3672.0,363.0
FHALL1010G,1362.0,1300.0,0G,New Building,HALL,,,Team F,3654.0,401.0
FHALL1020G,1361.0,1340.0,0G,New Building,HALL,,,Team F,3635.0,436.0
FHALL1030G,1393.0,1341.0,0G,New Building,HALL,,,Team F,3663.0,451.0
FHALL1040G,1392.0,1354.0,0G,New Building,HALL,,,Team F,3657.0,462.0
FHALL1050G,1438.0,1357.0,0G,New Building,HALL,,,Team F,3696.0,486.0
FHALL1060G,1492.0,1356.0,0G,New Building,HALL,,,Team F,3745.0,509.0
FHALL1070G,1548.0,1354.0,0G,New Building,HALL,,,Team F,3796.0,533.0
FHALL1080G,1604.0,1355.0,0G,New Building,HALL,,,Team F,3845.0,559.0
FHALL1090G,1667.0,1357.0,0G,New Building,HALL,,,Team F,3900.0,590.0
FHALL1100G,1747.0,1358.0,0G,New Building,HALL,,,Team F,3971.0,627.0
FHALL1110G,1803.0,1357.0,0G,New Building,HALL,,,Team F,4022.0,651.0
FHALL1120G,1856.0,1357.0,0G,New Building,HALL,,,Team F,4069.0,675.0
FHALL1130G,1908.0,1358.0,0G,New Building,HALL,,,Team F,4115.0,700.0
FHALL1140G,1966.0,1355.0,0G,New Building,HALL,,,Team F,4168.0,723.0
FHALL1150G,2023.0,1356.0,0G,New Building,HALL,,,Team F,4218.0,750.0
FHALL1160G,2074.0,1355.0,0G,New Building,HALL,,,Team F,4264.0,772.0
FHALL1170G,2117.0,1400.0,0G,New Building,HALL,,,Team F,4282.0,832.0
FHALL1180G,2164.0,1445.0,0G,New Building,HALL,,,Team F,4304.0,893.0
FHALL1190G,2165.0,1512.0,0G,New Building,HALL,,,Team F,4274.0,953.0
FHALL1200G,2214.0,1520.0,0G,New Building,HALL,,,Team F,4314.0,983.0
FHALL1210G,2258.0,1512.0,0G,New Building,HALL,,,Team F,4357.0,995.0
FHALL1220G,2308.0,1524.0,0G,New Building,HALL,,,Team F,4396.0,1029.0
FHALL1230G,2353.0,1514.0,0G,New Building,HALL,,,Team F,4441.0,1040.0
FHALL1240G,2401.0,1523.0,0G,New Building,HALL,,,Team F,4480.0,1070.0
FHALL1250G,2443.0,1513.0,0G,New Building,HALL,,,Team F,4522.0,1080.0
FHALL1260G,2495.0,1521.0,0G,New Building,HALL,,,Team F,4564.0,1111.0
FHALL1270G,2542.0,1514.0,0G,New Building,HALL,,,Team F,4609.0,1126.0
FHALL1280G,2568.0,1512.0,0G,New Building,HALL,,,Team F,4633.0,1136.0
FHALL1290G,2652.0,1513.0,0G,New Building,HALL,,,Team F,4708.0,1175.0
FHALL1300G,2728.0,1513.0,0G,New Building,HALL,,,Team F,4776.0,1209.0
FHALL1310G,2800.0,1513.0,0G,New Building,HALL,,,Team F,4840.0,1242.0
FHALL1320G,2873.0,1514.0,0G,New Building,HALL,,,Team F,4904.0,1276.0
FHALL1330G,2966.0,1511.0,0G,New Building,HALL,,,Team F,4989.0,1315.0
FHALL1340G,2969.0,1417.0,0G,New Building,HALL,,,Team F,5034.0,1233.0
FHALL1350G,2966.0,1342.0,0G,New Building,HALL,,,Team F,5065.0,1164.0
FHALL1360G,2970.0,1270.0,0G,New Building,HALL,,,Team F,5101.0,1102.0
FHALL1370G,2972.0,1188.0,0G,New Building,HALL,,,Team F,5140.0,1030.0
FHALL1380G,2968.0,1100.0,0G,New Building,HALL,,,Team F,5177.0,950.0
FHALL1390G,2947.0,1101.0,0G,New Building,HALL,,,Team F,5157.0,941.0
FHALL1400G,2944.0,1075.0,0G,New Building,HALL,,,Team F,5167.0,916.0
FHALL1410G,3035.0,1072.0,0G,New Building,HALL,,,Team F,5249.0,955.0
FHALL1420G,3039.0,1105.0,0G,New Building,HALL,,,Team F,5238.0,986.0
FHALL1430G,3084.0,1106.0,0G,New Building,HALL,,,Team F,5277.0,1008.0
FHALL1440G,3084.0,1073.0,0G,New Building,HALL,,,Team F,5292.0,978.0
FHALL1450G,3177.0,1072.0,0G,New Building,HALL,,,Team F,5376.0,1019.0
FHALL1460G,3248.0,1069.0,0G,New Building,HALL,,,Team F,5440.0,1049.0
FHALL1470G,3337.0,1070.0,0G,New Building,HALL,,,Team F,5519.0,1090.0
FHALL1480G,3338.0,1018.0,0G,New Building,HALL,,,Team F,5544.0,1044.0
FHALL1490G,3340.0,970.0,0G,New Building,HALL,,,Team F,5567.0,1002.0
FHALL1500G,3327.0,899.0,0G,New Building,HALL,,,Team F,5588.0,933.0
FHALL1510G,3363.0,888.0,0G,New Building,HALL,,,Team F,5625.0,940.0
FHALL1520G,3373.0,937.0,0G,New Building,HALL,,,Team F,5612.0,988.0
FHALL1530G,3383.0,993.0,0G,New Building,HALL,,,Team F,5595.0,1042.0
FHALL1540G,3392.0,1037.0,0G,New Building,HALL,,,Team F,5583.0,1085.0
FHALL1550G,3405.0,1092.0,0G,New Building,HALL,,,Team F,5570.0,1140.0
FHALL1560G,3444.0,1091.0,0G,New Building,HALL,,,Team F,5605.0,1157.0
FHALL1570G,3479.0,1081.0,0G,New Building,HALL,,,Team F,5641.0,1164.0
FHALL1580G,3481.0,1134.0,0G,New Building,HALL,,,Team F,5619.0,1212.0
FHALL1590G,3417.0,1130.0,0G,New Building,HALL,,,Team F,5563.0,1180.0
FHALL1600G,3419.0,1201.0,0G,New Building,HALL,,,Team F,5533.0,1244.0
FHALL1610G,3421.0,1264.0,0G,New Building,HALL,,,Team F,5506.0,1301.0
FHALL1620G,3416.0,1330.0,0G,New Building,HALL,,,Team F,5472.0,1358.0
FHALL1630G,3420.0,1388.0,0G,New Building,HALL,,,Team F,5449.0,1411.0
FHALL1640G,3419.0,1451.0,0G,New Building,HALL,,,Team F,5420.0,1467.0
FHALL1650G,3453.0,1473.0,0G,New Building,HALL,,,Team F,5440.0,1502.0
FHALL1660G,3472.0,1455.0,0G,New Building,HALL,,,Team F,5465.0,1494.0
FHALL1670G,3508.0,1456.0,0G,New Building,HALL,,,Team F,5497.0,1512.0
FHALL1680G,3565.0,1454.0,0G,New Building,HALL,,,Team F,5549.0,1536.0
FHALL1690G,3568.0,1392.0,0G,New Building,HALL,,,Team F,5579.0,1482.0
FHALL1700G,3566.0,1337.0,0G,New Building,HALL,,,Team F,5602.0,1432.0
FHALL1710G,3566.0,1271.0,0G,New Building,HALL,,,Team F,5632.0,1373.0
FHALL1720G,3568.0,1218.0,0G,New Building,HALL,,,Team F,5658.0,1327.0
FHALL1730G,3565.0,1168.0,0G,New Building,HALL,,,Team F,5678.0,1281.0
FHALL1740G,3565.0,1133.0,0G,New Building,HALL,,,Team F,5694.0,1249.0
FHALL1750G,3506.0,1131.0,0G,New Building,HALL,,,Team F,5642.0,1221.0
FHALL1760G,3508.0,1102.0,0G,New Building,HALL,,,Team F,5657.0,1196.0
FHALL1770G,3505.0,1075.0,0G,New Building,HALL,,,Team F,5667.0,1171.0
FHALL1780G,3579.0,1057.0,0G,New Building,HALL,,,Team F,5741.0,1188.0
FHALL1790G,3568.0,996.0,0G,New Building,HALL,,,Team F,5759.0,1129.0
FHALL1800G,3555.0,943.0,0G,New Building,HALL,,,Team F,5771.0,1076.0
FHALL1810G,3543.0,898.0,0G,New Building,HALL,,,Team F,5781.0,1030.0
FHALL1820G,3537.0,862.0,0G,New Building,HALL,,,Team F,5792.0,995.0
FHALL1830G,3654.0,829.0,0G,New Building,HALL,,,Team F,5911.0,1019.0
FHALL1840G,3596.0,846.0,0G,New Building,HALL,,,Team F,5852.0,1008.0
FHALL1850G,3670.0,893.0,0G,New Building,HALL,,,Team F,5896.0,1083.0
FHALL1860G,3693.0,977.0,0G,New Building,HALL,,,Team F,5879.0,1168.0
FHALL1870G,3747.0,968.0,0G,New Building,HALL,,,Team F,5931.0,1185.0
FHALL1880G,3806.0,958.0,0G,New Building,HALL,,,Team F,5988.0,1203.0
FHALL1890G,3799.0,930.0,0G,New Building,HALL,,,Team F,5995.0,1174.0
FHALL1900G,3885.0,909.0,0G,New Building,HALL,,,Team F,6081.0,1195.0
FHALL1910G,3851.0,784.0,0G,New Building,HALL,,,Team F,6107.0,1068.0
FHALL1920G,3864.0,778.0,0G,New Building,HALL,,,Team F,6121.0,1068.0
FHALL1930G,3866.0,837.0,0G,New Building,HALL,,,Team F,6096.0,1122.0
FHALL1940G,3885.0,832.0,0G,New Building,HALL,,,Team F,6116.0,1126.0
FHALL1950G,3918.0,928.0,0G,New Building,HALL,,,Team F,6102.0,1227.0
FHALL1960G,3963.0,1064.0,0G,New Building,HALL,,,Team F,6080.0,1368.0
FHALL1970G,3940.0,994.0,0G,New Building,HALL,,,Team F,6091.0,1295.0
FHALL1980G,3901.0,1087.0,0G,New Building,HALL,,,Team F,6014.0,1361.0
FHALL1990G,3893.0,1071.0,0G,New Building,HALL,,,Team F,6014.0,1343.0
FHALL2000G,3812.0,1096.0,0G,New Building,HALL,,,Team F,5931.0,1328.0
FHALL2010G,3740.0,1123.0,0G,New Building,HALL,,,Team F,5855.0,1320.0
FHALL2020G,3668.0,1144.0,0G,New Building,HALL,,,Team F,5781.0,1306.0
FHALL2030G,3625.0,1160.0,0G,New Building,HALL,,,Team F,5735.0,1301.0
FHALL2040G,3639.0,1205.0,0G,New Building,HALL,,,Team F,5727.0,1347.0
FHALL2050G,3594.0,1225.0,0G,New Building,HALL,,,Team F,5678.0,1345.0
FHALL2060G,3604.0,1260.0,0G,New Building,HALL,,,Team F,5671.0,1380.0
FHALL2070G,3620.0,1300.0,0G,New Building,HALL,,,Team F,5667.0,1423.0
FHALL2080G,3659.0,1288.0,0G,New Building,HALL,,,Team F,5708.0,1430.0
FHALL2090G,3708.0,1268.0,0G,New Building,HALL,,,Team F,5760.0,1435.0
FHALL2100G,3766.0,1255.0,0G,New Building,HALL,,,Team F,5818.0,1449.0
FHALL2110G,3816.0,1235.0,0G,New Building,HALL,,,Team F,5872.0,1454.0
FHALL2120G,3871.0,1211.0,0G,New Building,HALL,,,Team F,5931.0,1458.0
FHALL2130G,3932.0,1194.0,0G,New Building,HALL,,,Team F,5994.0,1470.0
FHALL2140G,3960.0,1241.0,0G,New Building,HALL,,,Team F,5997.0,1525.0
FHALL2150G,3898.0,1258.0,0G,New Building,HALL,,,Team F,5934.0,1512.0
FHALL2160G,3859.0,1269.0,0G,New Building,HALL,,,Team F,5894.0,1504.0
FHALL2170G,3816.0,1292.0,0G,New Building,HALL,,,Team F,5846.0,1505.0
FHALL2180G,3842.0,1365.0,0G,New Building,HALL,,,Team F,5836.0,1582.0
FHALL2190G,3861.0,1422.0,0G,New Building,HALL,,,Team F,5827.0,1641.0
FHALL2200G,3882.0,1490.0,0G,New Building,HALL,,,Team F,5815.0,1711.0
FHALL2210G,3961.0,1466.0,0G,New Building,HALL,,,Team F,5896.0,1726.0
FHALL2220G,4022.0,1446.0,0G,New Building,HALL,,,Team F,5960.0,1735.0
FHALL2230G,4059.0,1435.0,0G,New Building,HALL,,,Team F,5998.0,1742.0
FHALL2240G,4040.0,1368.0,0G,New Building,HALL,,,Team F,6011.0,1674.0
FHALL2250G,4020.0,1300.0,0G,New Building,HALL,,,Team F,6024.0,1604.0
FHALL2260G,4032.0,1264.0,0G,New Building,HALL,,,Team F,6051.0,1578.0
FHALL2270G,4047.0,1295.0,0G,New Building,HALL,,,Team F,6050.0,1612.0
FHALL2280G,4072.0,1334.0,0G,New Building,HALL,,,Team F,6055.0,1658.0
FHALL2290G,4101.0,1351.0,0G,New Building,HALL,,,Team F,6073.0,1687.0
FHALL2300G,4137.0,1340.0,0G,New Building,HALL,,,Team F,6110.0,1693.0
FHALL2310G,4154.0,1309.0,0G,New Building,HALL,,,Team F,6139.0,1673.0
FHALL2320G,4135.0,1268.0,0G,New Building,HALL,,,Team F,6141.0,1628.0
FHALL2330G,4154.0,1261.0,0G,New Building,HALL,,,Team F,6161.0,1630.0
FHALL2340G,4125.0,1177.0,0G,New Building,HALL,,,Team F,6173.0,1542.0
FHALL2350G,4102.0,1102.0,0G,New Building,HALL,,,Team F,6187.0,1465.0
FHALL2360G,4075.0,1032.0,0G,New Building,HALL,,,Team F,6194.0,1390.0
FHALL2370G,4052.0,961.0,0G,New Building,HALL,,,Team F,6206.0,1317.0
FHALL2380G,4031.0,899.0,0G,New Building,HALL,,,Team F,6215.0,1252.0
FHALL2390G,4016.0,840.0,0G,New Building,HALL,,,Team F,6229.0,1192.0
FHALL2400G,4072.0,821.0,0G,New Building,HALL,,,Team F,6287.0,1201.0
FHALL2410G,4143.0,796.0,0G,New Building,HALL,,,Team F,6362.0,1211.0
FHALL2420G,4136.0,767.0,0G,New Building,HALL,,,Team F,6369.0,1182.0
FHALL2430G,4188.0,748.0,0G,New Building,HALL,,,Team F,6424.0,1188.0
FHALL2440G,4198.0,773.0,0G,New Building,HALL,,,Team F,6421.0,1215.0
FHALL2450G,4241.0,755.0,0G,New Building,HALL,,,Team F,6468.0,1219.0
